item_id,zh_cn,ru,fr,en,icon_path,category_zh_cn,category_ru,category_fr,category_en
688,龙的槽牙,Клык дракона,Molaire de dragon,Dragon Molar,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
1383,毒性粉末,Ядовитый порошок,Pincée de poudre toxique,Toxic Powder,icons/icon_item_0089.dds.png,炼金材料,Реактив,Alchimie,Alchemy
2191,蝙蝠爪,Коготь летучей мыши,Griffe de chiroptère,Bat Claw,icons/icon_item_0186.dds.png,炼金材料,Реактив,Alchimie,Alchemy
2250,豆油,Соевое масло,Bouteille d'huile de soja,Soybean Oil,icons/icon_item_0309.dds.png,食用油,Пищевое масло,Huile de cuisson,Cooking Oil
2251,橄榄油,Оливковое масло,Bouteille d'huile d'olive,Olive Oil,icons/icon_item_0309.dds.png,食用油,Пищевое масло,Huile de cuisson,Cooking Oil
3332,碎星锭,Слиток метеоритного железа,Lingot de stellarite,Starshard Ingot,icons/icon_item_0855.dds.png,金属,Слиток металла,Métal,Metal
3360,橡胶轮,Резиновое колесо,Roue en caoutchouc,Rubber Wheel,icons/icon_item_0077.dds.png,橡胶,Каучук,Caoutchouc,Rubber
3407,空背架,Пустые заплечные носилки,Transporteur vide,Empty Carrier,icons/icon_item_0384.dds.png,生产材料,Редкий материал,Matériau,Material
3408,白糖,Сахар,Morceau de sucre,Sugar,icons/icon_item_0085.dds.png,调味料,Приправа,Épices,Spices
3409,食盐,Соль,Sel,Salt,icons/icon_item_0085.dds.png,调味料,Приправа,Épices,Spices
3451,石化蜥蜴鳞片,Чешуя василиска,Écaille de basilic,Basilisk Scale,icons/quest/icon_item_quest048.dds.png,炼金材料,Реактив,Alchimie,Alchemy
3748,银白色粉末,Серебряный порошок,Once de poudre argentée,Silvery Powder,icons/icon_item_0085.dds.png,炼金材料,Реактив,Alchimie,Alchemy
3796,巨魔血液,Кровь тролля,Volume de sang de troll,Troll Blood,icons/quest/icon_item_quest038.dds.png,炼金材料,Реактив,Alchimie,Alchemy
3932,猫头鹰羽毛,Перо совы,Plume de hibou,Owl Feather,icons/quest/icon_item_quest129.dds.png,炼金材料,Реактив,Alchimie,Alchemy
3939,水银,Ртуть,Volume de mercure,Mercury,icons/icon_item_0165.dds.png,炼金材料,Реактив,Alchimie,Alchemy
3940,海鸥羽毛,Перо чайки,Plume de mouette,Seagull Feather,icons/quest/icon_item_quest129.dds.png,炼金材料,Реактив,Alchimie,Alchemy
4747,特产品质认证书,Сертификат торговца,Certificat de qualité,Quality Certificate,icons/icon_item_0857.dds.png,生产材料,Редкий материал,Matériau,Material
7752,狐狸尾巴,Хвост лисы,Queue de renard,Fox Tail,icons/quest/icon_item_quest097.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7757,旧布,Старый лоскут,Vieille étoffe,Old Cloth,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
7760,野猪槽牙,Клык кабана,Défense de sanglier,Boar Tusk,icons/icon_item_0189.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7770,猪笼草草茎,Стебель саррацении,Tige de sarracénie,Sarracenia Stem,icons/quest/icon_item_quest166.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7771,猪笼草唾腺,Слюнная железа саррацении,Glande de sarracénie,Sarracenia Gland,icons/icon_item_0080.dds.png,炼金材料,Реактив,Alchimie,Alchemy
7773,薄布条,Тонкий лоскут ткани,Chiffon fin,Thin Cloth Scrap,icons/icon_item_0065.dds.png,布料,Ткань,Tissu,Fabric
